,Year,id,AdmitDesc,levl,styp_desc,Department,Degree Type,Major,Attendance,Gender,Citizen,Ethnicity,HS_GPA,SAT_M,SAT_RW,SAT_COMP,ACT_COMP,GRE_Quantitative,Yield,Start semester status
0,2015,2312655,Applicant Accept/Deposit,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,Hisp,,640.0,630.0,1270.0,,,yield,freshmen
1,2015,2295027,Applicant Accept/Deposit,U,First-Time Freshman,Undeclared,BS,Undecided-Computing Sciences,F,Male,domestic,Unknown,,750.0,680.0,1430.0,,,yield,freshmen
2,2015,2307583,Admitted,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,White,3.7,690.0,520.0,1210.0,,,not yield,
3,2015,2322900,Admit/Financial Docs Required,G,New Graduate,Computer Science,MS,Computer Science,,Male,international,Intl,,,,,,155.0,not yield,
4,2015,2326204,Cancelled Accept,U,Transfer,Computer Science,BS,Computer Science,F,Male,domestic,White,,,,,,,yield,transfer
5,2015,2303152,Cancelled Accept,G,New Graduate,"Information Technology, Information Systems, Informatics",MS,Business & Information Systems,F,Female,domestic,Asian,,,,,,,not yield,
6,2015,2311277,Applicant Accept/Deposit,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,Asian,,610.0,480.0,1090.0,,,yield,freshmen
7,2015,2313302,Admitted,U,First-Time Freshman,Undeclared,BS,Undecided-Computing Sciences,F,Male,domestic,White,3.52,570.0,540.0,1110.0,,,not yield,
8,2015,2317820,Applicant Accept/Deposit,U,First-Time Freshman,"Information Technology, Information Systems, Informatics",BS,Information Technology,F,Male,domestic,Hisp,,690.0,580.0,1270.0,,,yield,freshmen
9,2015,2304811,Applicant Accept/Deposit,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,Hisp,,560.0,620.0,1180.0,,,yield,freshmen
10,2015,2315156,Admit/Financial Docs Required,G,New Graduate,Computer Science,MS,Computer Science,F,Female,international,Intl,,,,,,157.0,not yield,
11,2015,2315836,Admitted,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,White,3.48,580.0,640.0,1220.0,,,not yield,
12,2015,2295708,Applicant Accept/Deposit,U,First-Time Freshman,Computer Science,BS,Computer Science,F,Male,domestic,Asian,,650.0,710.0,1360.0,,,yield,freshmen
